#Coord Suppliers
# 	1	231.2745		231.9495	
# 	2	391.6924		  2.4141	
# 	3	139.3812		287.2811	
# 	4	230.9025		 95.4853	
# 	5	242.6400		 66.3765	
# 	6	362.9166		102.6764	
# 	7	242.5000		  1.7621	
# 	8	302.9186		 63.0073	
# 	9	419.6509		112.2734	
# 	10	338.5885		228.9417	
# 	11	391.7247		 33.0334	
# 	12	135.0414		142.4717	
# 	13	302.8215		 77.2777	
# 	14	315.5181		197.1000	
# 	15	 81.9035		 96.6189	
# 	16	399.3918		 25.0048	
# 	17	335.9539		 18.7050	
# 	18	329.1665		222.7534	
# 	19	183.5621		297.4149	
# 	20	203.4618		 56.9636	
# 	21	158.2319		214.4435	
# 	22	160.8459		 15.4856	
# 	23	142.1636		299.6414	
# 	24	129.5572		138.5388	
# 	25	330.8707		283.1037	
#Coord Manufacturers
# 	1	 78.9312		 63.7264	
# 	2	 59.6149		 62.6044	
# 	3	448.0596		 73.9938	
#Coord Warehouse
# 	1	 49.5239		150.6961	
# 	2	205.2548		220.3471	
# 	3	279.4246		186.3211	
# 	4	 67.5777		161.4824	
# 	5	 54.1563		 45.9077	
# 	6	202.5804		128.7217	
# 	7	330.1479		 22.0715	
# 	8	125.4536		 49.5881	
# 	9	228.6396		173.7753	
# 	10	287.3736		 64.2077	
# 	11	187.9099		140.0443	
# 	12	 37.3811		171.0819	
# 	13	102.8329		 10.7189	
# 	14	434.0382		 22.3980	
# 	15	328.7161		150.7890	
# 	16	 41.6749		157.1848	
# 	17	195.3981		164.4049	
# 	18	420.7531		298.5151	
# 	19	298.0431		106.2391	
# 	20	197.6207		232.6548	
#Coord Hybrids
# 	1	282.9108		 29.3973	
# 	2	293.2137		290.5848	
# 	3	106.6284		117.8171	
# 	4	 37.1993		247.0652	
# 	5	130.2733		 49.1994	
# 	6	 73.4108		 83.3891	
# 	7	  3.1781		224.6267	
# 	8	384.2167		277.7108	
# 	9	135.9652		142.2391	
# 	10	333.1420		195.1912	
# 	11	120.4280		116.7814	
# 	12	407.3584		219.2527	
# 	13	 34.3108		 61.8835	
# 	14	399.7433		123.8115	
# 	15	 92.0299		104.0794	
#Coord Retailers
# 	1	185.4895		226.5854	
# 	2	 59.8878		256.4464	
# 	3	170.9137		143.0634	
# 	4	 58.5692		 81.6592	
# 	5	425.6271		142.3067	
# 	6	 68.5920		165.6441	
# 	7	279.3011		254.7080	
# 	8	192.8560		287.4261	
# 	9	 88.0607		154.9768	
# 	10	180.7174		 83.6449	
# 	11	271.8403		 23.9017	
# 	12	222.8166		142.2216	
# 	13	331.1125		 88.0369	
# 	14	 97.6900		 61.6742	
# 	15	441.9227		135.8771	
# 	16	431.4083		268.8320	
# 	17	198.4082		122.9886	
# 	18	297.4339		280.1944	
# 	19	362.0417		142.3426	
# 	20	222.2746		 76.6185	
# 	21	273.3724		 18.9807	
# 	22	257.1631		 27.4438	
# 	23	234.2404		179.2957	
# 	24	347.6886		157.5336	
# 	25	287.6738		162.1101	
# 	26	119.5121		 93.2935	
# 	27	199.3820		113.0541	
# 	28	255.2933		123.8625	
# 	29	429.0309		179.0037	
# 	30	213.3387		298.6499	
# 	31	101.4272		136.2966	
# 	32	195.3889		228.1673	
# 	33	257.1913		206.4169	
# 	34	185.3894		 65.2269	
# 	35	 66.0900		 76.4115	
# 	36	178.1622		 20.5332	
# 	37	360.0151		 20.6185	
# 	38	 16.7830		 59.7883	
# 	39	100.0261		 79.3968	
# 	40	  6.5293		115.5731	
# 	41	307.2219		 29.5048	
# 	42	312.4774		 27.5610	
# 	43	395.9318		134.4108	
# 	44	253.9396		126.5154	
# 	45	361.3795		100.9690	
# 	46	146.7187		 34.4824	
# 	47	367.9905		 30.1348	
# 	48	 43.0680		209.1034	
# 	49	422.3184		 29.5820	
# 	50	132.0647		 39.0553	
# 	51	178.9534		170.4177	
# 	52	373.4233		128.5302	
# 	53	349.4854		119.1964	
# 	54	211.2236		135.7246	
# 	55	105.4228		 95.6552	
#Coord Urban center
# 	1	437.4221		 25.9530	
# 	2	284.4389		 42.7634	
# 	3	229.5383		 57.7936	
# 	4	 11.3206		153.6784	
# 	5	199.9845		201.5437	
# 	6	110.9413		289.7965	

#Parameters

param I:=	15;	#Raw material
param S:=	25;	#Supplier
param M:=	3;	#Manufacturer
param H:=	15;	#Hybrid
param W:=	20;	#Warehouse
param C:=	55;	#Retailer
param P:=	3;	#Products
param T:=	5;	#Time period
param TV:=	2;	#Type of vehicle
param SZ:=	3;	#Size of vehicle
param UC:=	6;	#Urban centers

param CI_im:	1	2	3	:=	#Inventory holding cost/unit of raw material i at manufacturer m
1	3	3	3	 
2	3	3	3	 
3	3	3	3	 
4	3	3	3	 
5	3	3	3	 
6	3	3	3	 
7	3	3	3	 
8	3	3	3	 
9	3	3	3	 
10	3	3	3	 
11	3	3	3	 
12	3	3	3	 
13	3	3	3	 
14	3	3	3	 
15	3	3	3	 
; 
param CI_pw:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	:=	#Inventory holding cost/unit of product p at depot w
1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	 
2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	 
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	 
;
param CP_pm:	1	2	3	:=	#Production cost of product p at manufacturer m
1	104.2930	106.5270	106.9041	 
2	109.4905	106.7039	101.8293	 
3	106.5024	108.1270	108.4062	 
;
param CT_ism:=	#Cost of raw material i per unit from supplier s to manufacturer m
[1,*,*]:1	2	3	:=
1	1366.1609	1417.3411	1480.2773	
2	1373.7561	1365.0905	1489.7983	
3	1496.9137	1486.1621	1489.9860	
4	1313.8707	1403.7002	1373.2356	
5	1369.9386	1333.7466	1365.0181	
6	1375.1572	1267.5796	1336.8599	
7	1321.4944	1341.9762	1457.9597	
8	1382.6116	1302.3022	1318.5037	
9	1481.2168	1285.7677	1344.4673	
10	1368.2996	1389.9447	1493.5933	
11	1355.5817	1333.1156	1457.5973	
12	1490.6389	1265.3142	1498.1919	
13	1433.1696	1296.0359	1277.9673	
14	1268.7949	1404.2488	1329.3065	
15	1381.8204	1295.0197	1491.8029	
16	1393.6222	1459.2881	1333.4229	
17	1476.8319	1362.4016	1350.1450	
18	1448.0553	1351.1956	1470.9325	
19	1352.5074	1274.0157	1370.7189	
20	1442.6753	1285.9143	1296.7351	
21	1422.3855	1496.0352	1290.5813	
22	1499.2792	1361.8921	1443.6675	
23	1411.9747	1491.5348	1462.3846	
24	1341.9159	1324.4061	1388.9023	
25	1358.8918	1312.3396	1375.7026	
[2,*,*]:1	2	3	:=
1	1368.8553	1416.5031	1498.5139	
2	1382.3198	1495.8938	1458.0770	
3	1338.2635	1387.1482	1477.5839	
4	1340.1213	1305.0284	1491.1812	
5	1313.4980	1478.9110	1269.8099	
6	1294.1555	1435.4674	1489.9697	
7	1322.0841	1353.0966	1373.0090	
8	1371.6768	1410.4019	1498.3523	
9	1416.0332	1488.2869	1391.2401	
10	1264.6677	1375.3774	1427.1300	
11	1386.5757	1373.3190	1268.2463	
12	1414.8717	1348.6405	1435.8302	
13	1486.3711	1415.6440	1355.2285	
14	1431.1632	1321.8895	1412.2623	
15	1496.1959	1393.7667	1405.2881	
16	1381.7993	1367.1287	1499.7396	
17	1294.0630	1282.5334	1428.0269	
18	1469.4764	1358.6638	1451.2423	
19	1430.6643	1446.8987	1474.4717	
20	1426.6671	1360.3457	1494.1051	
21	1302.8203	1373.5165	1364.4314	
22	1281.3201	1497.1099	1266.1062	
23	1452.8472	1453.2544	1277.2148	
24	1344.4091	1305.8661	1477.0525	
25	1414.8351	1304.0656	1365.0067	
[3,*,*]:1	2	3	:=
1	1471.7676	1499.0808	1343.7805	
2	1369.7949	1307.4089	1299.2045	
3	1376.0138	1369.7632	1493.9865	
4	1264.3054	1287.2777	1320.2532	
5	1452.0066	1453.8446	1252.3887	
6	1347.2865	1253.4633	1254.4778	
7	1451.9344	1318.7719	1428.0947	
8	1432.0833	1375.3749	1286.6536	
9	1360.3315	1415.8708	1438.2401	
10	1260.5906	1479.9033	1478.3070	
11	1277.8276	1374.1594	1319.0895	
12	1366.2648	1310.2394	1435.3135	
13	1450.8328	1337.7207	1328.6324	
14	1310.7716	1264.5944	1391.7915	
15	1447.1864	1315.3158	1253.2185	
16	1387.0114	1255.5022	1344.9189	
17	1356.2555	1384.5829	1312.8558	
