#Coord Suppliers
# 	1	401.7871		 99.5939	
# 	2	369.5531		 12.5090	
# 	3	 48.4455		178.5156	
# 	4	238.4178		125.6422	
# 	5	150.9335		186.7558	
# 	6	197.1637		220.7646	
# 	7	233.1164		173.6576	
# 	8	290.4098		297.0673	
# 	9	368.9362		123.9603	
# 	10	394.3204		247.1278	
#Coord Manufacturers
# 	1	 24.5135		215.5912	
# 	2	360.9767		220.9220	
# 	3	319.1093		162.2811	
#Coord Warehouse
# 	1	 56.1709		287.2942	
# 	2	181.4653		 65.0854	
# 	3	322.7741		298.2622	
# 	4	115.0263		201.3928	
# 	5	269.5527		215.1996	
# 	6	421.8073		105.5429	
# 	7	114.1353		120.7417	
# 	8	335.9298		217.2212	
# 	9	182.7485		296.8140	
# 	10	202.7247		112.1425	
#Coord Hybrids
# 	1	319.3329		 24.7376	
# 	2	179.2678		231.2643	
# 	3	344.1379		 85.1578	
# 	4	 85.2940		141.3753	
# 	5	150.6627		220.4205	
#Coord Retailers
# 	1	 85.0982		 99.3312	
# 	2	379.9028		184.5072	
# 	3	398.3688		292.9659	
# 	4	376.6089		 54.2474	
# 	5	278.2847		142.8327	
# 	6	181.8705		222.5651	
# 	7	371.6700		204.9689	
# 	8	 62.6722		210.8475	
# 	9	 26.4768		 57.7996	
# 	10	416.1572		121.5307	
# 	11	 66.7312		204.6861	
# 	12	 73.5699		194.4676	
# 	13	113.2264		 12.4127	
# 	14	431.4252		 19.8661	
# 	15	230.8231		102.3890	
# 	16	297.0044		253.3282	
# 	17	271.7400		176.1641	
# 	18	 52.6649		213.1351	
# 	19	 92.0355		147.1103	
# 	20	 16.4738		 94.6211	
# 	21	388.3637		167.5400	
# 	22	246.0185		110.3474	
# 	23	372.6705		 82.9051	
# 	24	 56.5462		168.8343	
# 	25	120.3025		232.5105	
#Coord Urban center
# 	1	 80.7328		234.9770	
# 	2	273.5984		 12.5247	
# 	3	252.5738		200.4413	
# 	4	422.2767		235.8018	
# 	5	337.6937		149.1153	
# 	6	 19.2296		245.0602	

#Parameters

param I:=	5;	#Raw material
param S:=	10;	#Supplier
param M:=	3;	#Manufacturer
param H:=	5;	#Hybrid
param W:=	10;	#Warehouse
param C:=	25;	#Retailer
param P:=	3;	#Products
param T:=	5;	#Time period
param TV:=	2;	#Type of vehicle
param SZ:=	3;	#Size of vehicle
param UC:=	6;	#Urban centers

param CI_im:	1	2	3	:=	#Inventory holding cost/unit of raw material i at manufacturer m
1	3	3	3	 
2	3	3	3	 
3	3	3	3	 
4	3	3	3	 
5	3	3	3	 
; 
param CI_pw:	1	2	3	4	5	6	7	8	9	10	:=	#Inventory holding cost/unit of product p at depot w
1	3	3	3	3	3	3	3	3	3	3	 
2	3	3	3	3	3	3	3	3	3	3	 
3	3	3	3	3	3	3	3	3	3	3	 
;
param CP_pm:	1	2	3	:=	#Production cost of product p at manufacturer m
1	100.1362	105.5004	105.6680	 
2	101.1292	100.6278	105.7472	 
3	104.8549	103.0142	100.3980	 
;
param CT_ism:=	#Cost of raw material i per unit from supplier s to manufacturer m
[1,*,*]:1	2	3	:=
1	1408.4735	1281.0839	1252.9015	
2	1319.1666	1325.3864	1295.0793	
3	1266.7445	1444.8085	1350.1871	
4	1311.4537	1380.9430	1313.7465	
5	1462.9771	1370.8759	1405.7875	
6	1493.2682	1338.6869	1306.1614	
7	1494.6785	1396.7686	1495.4204	
8	1492.1665	1426.2760	1254.8464	
9	1403.2076	1312.3898	1282.3589	
10	1341.5653	1300.0234	1441.6204	
[2,*,*]:1	2	3	:=
1	1483.5453	1256.6006	1314.0159	
2	1316.5496	1285.5819	1487.8749	
3	1311.9030	1339.0465	1262.2347	
4	1309.5327	1470.7062	1491.1083	
5	1414.0070	1324.2153	1264.8340	
6	1466.1091	1288.7852	1317.3870	
7	1387.0511	1313.0693	1461.1696	
8	1375.5537	1371.1724	1476.3147	
9	1478.8171	1310.4070	1254.6918	
10	1417.5724	1317.6409	1253.5767	
[3,*,*]:1	2	3	:=
1	1274.2826	1354.7095	1280.1371	
2	1301.7722	1436.2639	1363.9220	
3	1278.3774	1303.8309	1482.5608	
4	1251.9736	1410.4679	1411.1656	
5	1420.0629	1394.5383	1446.1321	
6	1455.4618	1411.7073	1294.9099	
7	1431.5682	1321.1780	1460.3691	
8	1392.5417	1271.3169	1477.7380	
9	1365.6140	1485.7260	1260.1230	
10	1276.8638	1438.9299	1260.4443	
[4,*,*]:1	2	3	:=
1	1362.8907	1454.0215	1354.7994	
2	1297.4897	1460.8527	1276.8115	
3	1322.0046	1304.2422	1366.0668	
4	1329.8976	1477.2736	1446.4069	
5	1426.4376	1284.9758	1402.9553	
6	1462.8738	1480.9421	1415.5526	
7	1314.7449	1319.2000	1408.8695	
8	1431.1016	1326.3969	1419.4906	
9	1376.6234	1457.3464	1420.8245	
10	1477.5253	1279.9849	1459.9332	
[5,*,*]:1	2	3	:=
1	1487.0675	1393.4053	1251.0363	
2	1258.3781	1353.1165	1364.5693	
3	1369.4130	1420.3552	1438.7229	
